安全带未系提示,●标配,●标配,●标配
胎压监测系统,●胎压显示,●胎压显示,●胎压显示
儿童座椅接口(ISOFIX),●标配,●标配,●标配
被动行人保护,,,
安全轮胎,,,
驻车雷达,,,
前车驶离提醒,,,
驾驶辅助影像,●倒车影像,●倒车影像,●倒车影像
巡航系统,●定速巡航,●定速巡航,●定速巡航
巡航系统,●自适应巡航,●自适应巡航,●自适应巡航
巡航系统,●全速自适应巡航,●全速自适应巡航,●全速自适应巡航
自动变道辅助,○选配,○选配,○选配
匝道自动驶出（入）,○选配,○选配,○选配
辅助驾驶级别,●L2级,●L2级,●L2级
自动泊车入位,○选配,○选配,○选配
循迹倒车,,,
记忆泊车,,,
自动驻车(AUTOHOLD),●标配,●标配,●标配
上坡辅助(HAC),●标配,●标配,●标配
陡坡缓降(HDC),,,
可变悬挂调节,,,
空气悬挂,,,
电磁感应悬挂,,,
可变转向比系统,,,
前桥限滑方式,,,
后桥限滑方式,,,
中央差速器锁止功能,,,
低速四驱,,,
整体主动转向系统,,,
驾驶模式选择,,,●运动
驾驶模式选择,●雪地,●雪地,●雪地
驾驶模式选择,●标准舒适,●标准舒适,●标准舒适
制动能量回收系统,●标配,●标配,●标配
低速行车警示音,●标配,●标配,●标配
天窗类型,●不可开启全景天窗,●不可开启全景天窗,●不可开启全景天窗
光感天幕,,,
车顶行李架,○选配,○选配,○选配
运动外观套件,,,
电动扰流板,,,
主动闭合式进气格栅,,,
铝合金轮毂,●标配,●标配,●标配
车侧脚踏板,,,
无框设计车门,●标配,●标配,●标配
隐藏式门把手,●标配,●标配,●标配
拖挂钩,,,
方向盘材质,●皮质,●皮质,●皮质
方向盘调节,●上下+前后,●上下+前后,●上下+前后
方向盘电动调节,●标配,●标配,●标配
方向盘功能,●多功能控制,●多功能控制,●多功能控制
方向盘功能,●记忆,●记忆,●记忆
方向盘功能,●加热,●加热,●加热
行车电脑屏幕,,,
液晶仪表样式,,,
液晶仪表尺寸(英寸),,,
电动吸合门,,,
电动后尾门,●标配,●标配,●标配
感应式后尾门,,,
电动后尾门位置记忆,●标配,●标配,●标配
车内中控锁,●标配,●标配,●标配
遥控钥匙类型,○智能遥控钥匙1200元,○智能遥控钥匙1200元,○智能遥控钥匙1200元
遥控钥匙类型,●手机蓝牙钥匙,●手机蓝牙钥匙,●手机蓝牙钥匙
遥控钥匙类型,●NFC/RFID钥匙,●NFC/RFID钥匙,●NFC/RFID钥匙
无钥匙进入,●全车,●全车,●全车
无钥匙启动,●标配,●标配,●标配
远程启动,●标配,●标配,●标配
遥控移动车辆,○选配,○选配,○选配
车辆召唤功能,○选配,○选配,○选配
抬头显示系统(HUD),,,
内置行车记录仪,●标配,●标配,●标配
主动降噪,,,
手机无线充电,●标配,●标配,●标配
手机无线充电最大功率(W),15,15,15
110V/220V/230V电源插座,,,
行李舱12V电源接口,●标配,●标配,●标配
座椅材质,●仿皮,●仿皮,●仿皮
运动风格座椅,,,
座椅布局,●2+3,●2+3,●2+3
第二排独立座椅,,,
第三排座椅,,,
座椅电动调节,●主驾驶位,●主驾驶位,●主驾驶位
座椅电动调节,●副驾驶位,●副驾驶位,●副驾驶位
主驾座椅整体调节,●前后移动,●前后移动,●前后移动
主驾座椅整体调节,●靠背角度,●靠背角度,●靠背角度
主驾座椅整体调节,●高低调节,●高低调节,●高低调节
主驾座椅局部调节,●腰部,●腰部,●腰部
副驾座椅整体调节,●前后移动,●前后移动,●前后移动
副驾座椅整体调节,●高低调节,●高低调节,●高低调节
副驾座椅整体调节,●靠背角度,●靠背角度,●靠背角度
副驾座椅局部调节,,,
第二排座椅整体调节,●靠背角度调节,●靠背角度调节,●靠背角度调节
第二排座椅局部调节,,,
前排座椅功能,●加热,●加热,●加热
前排座椅功能,●记忆(主驾驶),●记忆(主驾驶),●记忆(主驾驶)
第二排座椅功能,●加热,●加热,●加热
第三排座椅功能,,,
老板键,,,
前/后扶手,●前排,●前排,●前排
前/后扶手,●后排,●后排,●后排
后排杯架,●标配,●标配,●标配
可加热/制冷杯架,,,
后排座椅放倒比例,●40:20:40,●40:20:40,●40:20:40
后排座椅电动放倒,,,
第二排小桌板,,,
中控屏尺寸(英寸),●15,●15,●15
中控台彩色屏幕分辨率,1920x1080,1920x1080,1920x1080
中控台彩色屏幕像素密度（PPI）,●147,●147,●147
触屏振动反馈,,,
GPS导航系统,●标配,●标配,●标配
AR实景导航,,,
导航路况信息展示,●标配,●标配,●标配
道路救援服务,,,
蓝牙/车载电话,●标配,●标配,●标配
手机互联映射,,,
车联网,●标配,●标配,●标配
4G/5G网络,●4G,●4G,●4G
OTA升级,●标配,●标配,●标配
面部识别,,,
指纹识别,,,
声纹识别,,,
情绪识别,,,
语音识别控制系统,●标配,●标配,●标配
语音免唤醒功能,,,
语音分区域唤醒识别功能,●主驾驶,●主驾驶,●主驾驶
连续性语音识别,,,
可见即可说,,,
语音助手唤醒词,,,
手势控制功能,,,
Wi-Fi热点,,,
多指飞屏操控,,,
应用商店,,,
多媒体接口,●USB/Type-C,●USB/Type-C,●USB/Type-C
USB/Type-C接口数量,●前排2个,●前排2个,●前排2个
USB/Type-C接口数量,●后排2个,●后排2个,●后排2个
USB/Type-C最大充电功率,,,
车载电视,,,
后排液晶屏,,,
模拟声浪,,,
K歌功能,●标配,●标配,●标配
车机彩蛋,●标配,●标配,●标配
音响品牌,,,
扬声器数量(个),●14,●14,●14
后排多媒体控制,,,
近光灯,●LED,●LED,●LED
远光灯,●LED,●LED,●LED
日间行车灯,●标配,●标配,●标配
自适应远近光,●标配,●标配,●标配
自动大灯,●标配,●标配,●标配
转向辅助灯,,,
前雾灯,,●标配,●标配
大灯随动转向(AFS),,,
大灯高度调节,●标配,●标配,●标配
大灯清洗功能,,,
车内氛围灯,●多色,●多色,●多色
主动式环境氛围灯,,,
灯光特色功能,●矩阵式,●矩阵式,●矩阵式
大灯延时关闭,●标配,●标配,●标配
前大灯雨雾模式,,,
电动车窗,●前排,●前排,●前排
电动车窗,●后排,●后排,●后排
车窗一键升降,●全车,●全车,●全车
车窗防夹手功能,●标配,●标配,●标配
外后视镜功能,●电动调节,●电动调节,●电动调节
外后视镜功能,●加热,●加热,●加热
外后视镜功能,●电动折叠,●电动折叠,●电动折叠
外后视镜功能,●记忆,●记忆,●记忆
外后视镜功能,●倒车自动下翻,●倒车自动下翻,●倒车自动下翻
外后视镜功能,●锁车自动折叠,●锁车自动折叠,●锁车自动折叠
外后视镜功能,●自动防眩目,●自动防眩目,●自动防眩目
内后视镜功能,●自动防眩目,●自动防眩目,●自动防眩目
车内化妆镜,●主驾驶位+有照明,●主驾驶位+有照明,●主驾驶位+有照明
车内化妆镜,●副驾驶位+有照明,●副驾驶位+有照明,●副驾驶位+有照明
后排隐私玻璃,●标配,●标配,●标配
车内遮阳帘,,,
雨量感应式雨刷,●标配,●标配,●标配
后雨刷,,,
后窗玻璃开启,,,
多层隔音玻璃,●前排+后排,●前排+后排,●前排+后排
前风挡电加热,,,
可加热喷水嘴,,,
空调控制方式,●自动,●自动,●自动
后排独立空调,,,
后排出风口,●标配,●标配,●标配
温度分区控制,●双区空调,●双区空调,●双区空调
车载空气净化器,,,
车内PM2.5过滤装置,●标配,●标配,●标配
HEPA过滤装置,●标配,●标配,●标配
负离子发生器,,,
车内香氛装置,,,
车载冰箱,,,
辅助驾驶操作系统,●Autopilot,●Autopilot,●Autopilot
辅助驾驶芯片,●HW,●HW,●HW
辅助驾驶芯片算力(TOPS),●720,●720,●720
车载智能系统,●特斯拉车载系统软件,●特斯拉车载系统软件,●特斯拉车载系统软件
车载智能芯片,●AMD Ryzen,●AMD Ryzen,●AMD Ryzen
车机系统内存(GB),●16,●16,●16
车机系统存储(GB),●256,●256,●256
手机App远程控制,●数字钥匙,●数字钥匙,●数字钥匙
手机App远程控制,●车辆监控,●车辆监控,●车辆监控
手机App远程控制,●远程控制,●远程控制,●远程控制
手机App远程控制,●充电管理,●充电管理,●充电管理
手机App远程控制,●服务预约,●服务预约,●服务预约
热泵管理系统,●标配,●标配,●标配
前向最大探测距离(m),●424,●424,●424
车外摄像头数量(个),●7,●7,●7
车外摄影头像素,●500万,●500万,●500万
车内摄像头数量(个),●1,●1,●1
车内摄影头像素,,,
亚米级高精定位系统,,,
高精度地图,,,
哨兵（千里眼）模式,●标配,●标配,●标配
V2X通讯,,,
定制选装,"可选外观、内饰、轮毂、制动器
2种选装包","可选外观、内饰、轮毂、制动器
2种选装包","可选外观、内饰、轮毂、制动器
2种选装包"
